num_samples,epoch,excess_risk,rademacher,M,norm,batch_size,learning_rate
100,10,0.5925832986831665,6.712289333343506,3.0864360332489014,2,512,0.002
100,20,0.18003086745738983,7.2274627685546875,3.323322296142578,2,512,0.002
100,30,0.19650742411613464,7.770260810852051,3.572910785675049,2,512,0.002
1000,10,0.36934494972229004,2.304689645767212,3.3511898517608643,2,512,0.002
1000,20,0.1800505518913269,2.7176759243011475,3.951702833175659,2,512,0.002
1000,30,0.08144497871398926,3.102139472961426,4.510740756988525,2,512,0.002
10000,10,0.08015608042478561,0.9759417176246643,4.4875617027282715,2,512,0.002
10000,20,0.08076251298189163,0.8677740693092346,3.990186929702759,2,512,0.002
10000,30,0.07837221026420593,0.7693399786949158,3.5375688076019287,2,512,0.002
100000,10,0.07666906714439392,0.14529545605182648,2.112703800201416,2,512,0.002
100000,20,0.07866719365119934,0.18733692169189453,2.724017858505249,2,512,0.002
100000,30,0.07199127972126007,0.3149223029613495,4.579204082489014,2,512,0.002
